College Name,Location,Branch 1,Fees 1,Branch 2,Fees 2,Link
Sanmati Engineering College - [SEC],"Washim, Maharashtra",BE Computer Science and Engineering,"₹ 87,000",BE Electrical Engineering,"₹ 87,000",https://collegedunia.com/college/14926-sanmati-engineering-college-sec-washim/courses-fees?course_id=1956
Madhukarrao Pandav College of Engineering - [MPCE],"Bhandara, Maharashtra",BE Civil Engineering,"₹ 74,000",BE Computer Engineering,"₹ 74,000",https://collegedunia.com/college/28709-madhukarrao-pandav-college-of-engineering-mpce-bhandara/courses-fees?course_id=1936
J. T. Mahajan College of Engineering - [JTMCOEF],"Jalgaon, Maharashtra",B.Tech Computer Engineering,"₹ 2,14,000",,,https://collegedunia.com/college/24120-j-t-mahajan-college-of-engineering-jtmcoef-jalgaon/courses-fees?course_id=2047
B. R. Harne College of Engineering and Technology - [BRHCET],"Thane, Maharashtra",BE Computer Engineering,"₹ 3,20,000",BE Computer Science and Engineer...,"₹ 3,20,000",https://collegedunia.com/college/23861-b-r-harne-college-of-engineering-and-technology-brhcet-thane/courses-fees?course_id=1954
Pankaj Laddhad Institute of Technology and Management Studies- [PLITMS],"Buldhana, Maharashtra",BE Mechanical Engineering,"₹ 55,065",BE Computer Science and Engineering,"₹ 55,065",https://collegedunia.com/college/45756-pankaj-laddhad-institute-of-technology-and-management-studies-plitms-buldhana/courses-fees?course_id=1983
Metropolitan Institute of Technology & Management - [MITM],"Sindhudurg, Maharashtra",BE Computer Engineering,"₹ 63,000",,,https://collegedunia.com/college/28790-metropolitan-institute-of-technology-and-management-mitm-sindhudurg/courses-fees?course_id=1954
Siddhivinayak Technical Campus - [STC],"Buldhana, Maharashtra",BE Computer Science and Engineering,"₹ 1,74,000",BE Electronics & Telecom Enginee...,"₹ 1,74,000",https://collegedunia.com/college/28588-siddhivinayak-technical-campus-stc-buldhana/courses-fees?course_id=1956
Shri Sai College of Engineering and Technology - [SSCET],"Chandrapur, Maharashtra",BE Electrical Engineering,"₹ 3,10,000",,,https://collegedunia.com/college/28621-shri-sai-college-of-engineering-and-technology-sscet-chandrapur/courses-fees?course_id=1959
GM Vedak Institute of Technology - [GMVIT],"Raigad, Maharashtra",BE Computer Engineering,"₹ 65,000",,,https://collegedunia.com/college/28669-gm-vedak-institute-of-technology-gmvit-raigad/courses-fees?course_id=1954
Navsahyadri Group of Institutes - [NESGI],"Naigaon, Maharashtra",BE Computer Engineering,"₹ 3,62,000",BE Artificial Intelligence & Mac...,"₹ 3,62,000",https://collegedunia.com/college/58798-navsahyadri-group-of-institutes-nesgi-naigaon/courses-fees?course_id=1954
Dilkap Research Institute of Engineering and Management Studies - [DRIEMS],"Karjat, Maharashtra",BE Computer Engineering,"₹ 2,66,000",BE Artificial Intelligence & Mac...,"₹ 2,66,000",https://collegedunia.com/college/17511-dilkap-research-institute-of-engineering-and-management-studies-driems-karjat/courses-fees?course_id=1954
Flora Institute of Technology,"Pune, Maharashtra",BE Computer Engineering,"₹ 62,000",BE Mechanical Engineering,"₹ 62,000",https://collegedunia.com/college/13468-flora-institute-of-technology-pune/courses-fees?course_id=1954
Abhinav Education Society's College of Engineering and Technology,"Wadwani, Maharashtra",BE Computer Science and Engineering,"₹ 85,000",,,https://collegedunia.com/college/28341-abhinav-education-societys-college-of-engineering-and-technology-wadwani/courses-fees?course_id=1956
G.V. Acharya Institute of Engineering and Technology - [GVAIET],"Mumbai, Maharashtra",B.Tech Computer Engineering,"₹ 73,400",B.Tech Computer Science and Engi...,,https://collegedunia.com/college/13518-gv-acharya-institute-of-engineering-and-technology-gvaiet-mumbai/courses-fees?course_id=2047
Dattakala Institute,"Pune, Maharashtra",BE Computer Engineering,N/A,BE Electrical Engineering,N/A,https://collegedunia.com/college/62163-dattakala-institute-pune/courses-fees?course_id=1954
"New Institute of Technology, Kolhapur","Kolhapur, Maharashtra",B.Tech Computer Science Engineering,"₹ 87,500",B.Tech Artificial Intelligence a...,"₹ 87,500",https://collegedunia.com/college/60862-new-institute-of-technology-kolhapur-kolhapur/courses-fees?course_id=2049
Agnihotri College of Engineering,"Wardha, Maharashtra",BE Computer Science and Engineering,"₹ 90,000",,,https://collegedunia.com/college/12743-agnihotri-college-of-engineering-wardha/courses-fees?course_id=1956
NIT Trichy,"Tiruchirappalli, Tamil Nadu",B.Tech Chemical Engineering,"₹ 1,85,450",B.Tech Civil Engineering,"₹ 1,85,450",https://collegedunia.com/university/25889-nit-trichy-tiruchirappalli/courses-fees?course_id=1937
National Institute of Technology - [NITK],"Surathkal, Karnataka",B.Tech Chemical Engineering,"₹ 1,66,950",B.Tech Civil Engineering,"₹ 1,66,950",https://collegedunia.com/university/25620-national-institute-of-technology-nitk-surathkal/courses-fees?course_id=1937
NIT Warangal,"Warangal, Telangana",B.Tech Mechanical Engineering,"₹ 1,70,000",B.Tech Chemical Engineering,"₹ 1,70,000",https://collegedunia.com/university/25367-nit-warangal-warangal/courses-fees?course_id=2094
MNNIT Allahabad - Motilal Nehru National Institute of Technology - [MNNIT],"Allahabad, Uttar Pradesh",B.Tech Mechanical Engineering,"₹ 1,68,000",B.Tech Chemical Engineering,"₹ 1,68,000",https://collegedunia.com/university/25961-mnnit-allahabad-motilal-nehru-national-institute-of-technology-mnnit-allahabad/courses-fees?course_id=2094
Netaji Subhas University of Technology - [NSUT],"New Delhi, Delhi NCR",B.Tech Internet of Things,"₹ 2,50,000",B.Tech Electrical Engineering,"₹ 2,50,000",https://collegedunia.com/university/14479-netaji-subhas-university-of-technology-nsut-new-delhi/courses-fees?course_id=11898
National Institute of Technology - [NITC],"Calicut, Kerala",B.Tech Engineering Physics,"₹ 2,11,500",B.Tech Mechanical Engineering,"₹ 2,11,500",https://collegedunia.com/university/25651-national-institute-of-technology-nitc-calicut/courses-fees?course_id=2064
National Institute of Technology - [NIT],"New Delhi, Delhi NCR",B.Tech VLSI Design,"₹ 1,61,600",B.Tech Aerospace Engineering,"₹ 1,61,600",https://collegedunia.com/university/25464-national-institute-of-technology-nit-new-delhi/courses-fees?course_id=17033
National Institute of Technology - [NIT],"Rourkela, Odisha",B.Tech Mechanical Engineering,"₹ 1,68,000",B.Tech Chemical Engineering,"₹ 1,68,000",https://collegedunia.com/university/24260-national-institute-of-technology-nit-rourkela/courses-fees?course_id=2094
Delhi Technological University - [DTU],"New Delhi, Delhi NCR",B.Tech Mechanical Engineering,"₹ 2,47,700",B.Tech Chemical Engineering,"₹ 2,47,700",https://collegedunia.com/university/25449-delhi-technological-university-dtu-new-delhi/courses-fees?course_id=2094
International Institute of Information Technology - [IIIT-B],"Bangalore, Karnataka",B.Tech + M.Tech Electronics and...,"₹ 4,60,000",,,https://collegedunia.com/university/25604-international-institute-of-information-technology-iiitb-bangalore/courses-fees?course_id=8945
Indira Gandhi Delhi Technical University For Women -[IGDTUW],"New Delhi, Delhi NCR",B.Tech Computer Science Engineering,"₹ 1,51,000",B.Tech Computer Science Engineer...,"₹ 1,51,000",https://collegedunia.com/university/13801-indira-gandhi-delhi-technical-university-for-women-igdtuw-new-delhi/courses-fees?course_id=2049
Atal Bihari Vajpayee Indian Institute of Information Technology and Management - [ABVIIITM],"Gwalior, Madhya Pradesh",B.Tech + M.Tech. Information T...,"₹ 2,03,250",B.Tech + MBA Information Techno...,"₹ 2,03,250",https://collegedunia.com/university/25664-atal-bihari-vajpayee-indian-institute-of-information-technology-and-management-abviiitm-gwalior/courses-fees?course_id=5125
Malaviya National Institute of Technology - [MNIT],"Jaipur, Rajasthan",B.Tech Electrical Engineering,"₹ 3,45,187",B.Tech Mechanical Engineering,"₹ 3,45,187",https://collegedunia.com/university/25828-malaviya-national-institute-of-technology-mnit-jaipur/courses-fees?course_id=2052
Sardar Vallabhbhai National Institute of Technology - [SVNIT],"Surat, Gujarat",B.Tech Electronics & Communicati...,"₹ 1,85,000",B.Tech Electronics & VLSI Engine...,"₹ 1,85,000",https://collegedunia.com/university/25509-sardar-vallabhbhai-national-institute-of-technology-svnit-surat/courses-fees?course_id=2055
National Institute of Technology - [NIT],"Jamshedpur, Jharkhand",B.Tech Electronics & Communicati...,"₹ 1,81,000",B.Tech Engineering and Computati...,"₹ 1,81,000",https://collegedunia.com/university/25584-national-institute-of-technology-nit-jamshedpur/courses-fees?course_id=2055
National Institute of Technology - [NIT],"Durgapur, West Bengal",B.Tech Electronics & Communicati...,"₹ 1,73,700",B.Tech Electrical Engineering,"₹ 1,73,700",https://collegedunia.com/university/26009-national-institute-of-technology-nit-durgapur/courses-fees?course_id=2055
Punjab Engineering College University of Technology - [PEC],"Chandigarh, Chandigarh",B.Tech Data Science,"₹ 2,07,000",B.Tech Mathematics and Computing,"₹ 2,07,000",https://collegedunia.com/university/25424-punjab-engineering-college-university-of-technology-pec-chandigarh/courses-fees?course_id=15263
Maulana Azad National Institute of Technology - [MANIT],"Bhopal, Madhya Pradesh",B.Tech + M.Tech Mathematics and ...,"₹ 1,01,400",B.Tech Electronics & Communicati...,"₹ 1,55,400",https://collegedunia.com/university/25679-maulana-azad-national-institute-of-technology-manit-bhopal/courses-fees?course_id=25982
Dr BR Ambedkar National Institute of Technology - [NIT],"Jalandhar, Punjab",B.Tech Data Science,"₹ 1,64,000",B.Tech Information Technology,"₹ 1,64,000",https://collegedunia.com/university/25781-dr-br-ambedkar-national-institute-of-technology-nit-jalandhar/courses-fees?course_id=15263
National Institute of Technology - [NITP],"Patna, Bihar",B.Tech Computer Science Engineering,"₹ 1,86,500",B.Tech Computer Science and Engi...,"₹ 1,88,500",https://collegedunia.com/university/25417-national-institute-of-technology-nitp-patna/courses-fees?course_id=2049
Birla Institute of Technology - [BIT Mesra],"Ranchi, Jharkhand",B.Tech Computer Science Engineering,"₹ 4,38,000",B.Tech Artificial Intelligence a...,"₹ 4,38,000",https://collegedunia.com/university/13088-birla-institute-of-technology-bit-mesra-ranchi/courses-fees?course_id=2049
National Institute of Technology - [NIT],"Kurukshetra, Haryana",B.Tech Microelectronics & VLSI,"₹ 1,87,000",B.Tech + M.Tech Electrical Engi...,"₹ 1,87,000",https://collegedunia.com/university/25540-national-institute-of-technology-nit-kurukshetra/courses-fees?course_id=28011
Indian Institute of Information Technology Design and Manufacturing - [IIITDM],"Jabalpur, Madhya Pradesh",B.Tech Computer Science Engineering,"₹ 1,74,000",B.Tech Electronics & Communicati...,"₹ 1,74,000",https://collegedunia.com/university/5843-indian-institute-of-information-technology-design-and-manufacturing-iiitdm-jabalpur/courses-fees?course_id=2049
National Institute of Technology - [NIT] Uttarakhand,"Srinagar Garhwal, Uttarakhand",B.Tech Computer Science Engineering,"₹ 1,62,043",B.Tech Electronics & Communicati...,"₹ 1,62,043",https://collegedunia.com/university/28197-national-institute-of-technology-nit-uttarakhand-srinagar-garhwal/courses-fees?course_id=2049
National Institute of Technology - [NIT],"Raipur, Chhattisgarh",B.Tech Computer Science Engineering,"₹ 1,78,100",B.Tech Information Technology,"₹ 1,78,100",https://collegedunia.com/university/25442-national-institute-of-technology-nit-raipur/courses-fees?course_id=2049
National Institute of Technology - [NIT],"South Goa, Goa",B.Tech Computer Science Engineering,"₹ 1,47,500",B.Tech Electronics & Communicati...,"₹ 1,47,500",https://collegedunia.com/university/25475-national-institute-of-technology-nit-south-goa/courses-fees?course_id=2049
Harcourt Butler Technological University - [HBTU],"Kanpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,35,000",B.Tech Mechanical Engineering,"₹ 1,35,000",https://collegedunia.com/university/13697-harcourt-butler-technological-university-hbtu-kanpur/courses-fees?course_id=2049
National Institute of Technology - [NIT],"Pondicherry, Puducherry",B.Tech Computer Science Engineering,"₹ 1,40,350",B.Tech Electronics & Communicati...,"₹ 1,40,350",https://collegedunia.com/university/28218-national-institute-of-technology-nit-pondicherry/courses-fees?course_id=2049
Thapar Institute of Engineering and Technology - [Thapar University],"Patiala, Punjab",BE Computer Science and Engineering,"₹ 6,55,000",BE Computer Science and Business...,"₹ 6,55,000",https://collegedunia.com/university/25795-thapar-institute-of-engineering-and-technology-thapar-university-patiala/courses-fees?course_id=1956
National Institute of Technology - [NIT],"Srinagar, Jammu and Kashmir",B.Tech Computer Science Engineering,"₹ 1,64,500",B.Tech Information Technology,"₹ 1,64,500",https://collegedunia.com/university/25571-national-institute-of-technology-nit-srinagar/courses-fees?course_id=2049
NIT Silchar,"Silchar, Assam",B.Tech Electronics & Communicati...,"₹ 1,61,740",B.Tech Electronics and Instrumen...,"₹ 1,61,740",https://collegedunia.com/university/25399-nit-silchar-silchar/courses-fees?course_id=2055
Indian Institute of Information Technology - [IIIT],"Tiruchirappalli, Tamil Nadu",B.Tech Computer Science Engineering,"₹ 2,82,000",B.Tech Electronics & Communicati...,"₹ 2,82,000",https://collegedunia.com/university/59205-indian-institute-of-information-technology-iiit-tiruchirappalli/courses-fees?course_id=2049
Rajiv Gandhi Institute of Petroleum Technology - [RGIPT],"Amethi, Uttar Pradesh",B.Tech Electric Vehicle Technology,"₹ 2,56,000",B.Tech Petroleum Engineering,"₹ 2,56,000",https://collegedunia.com/college/14733-rajiv-gandhi-institute-of-petroleum-technology-rgipt-amethi/courses-fees?course_id=19316
Indian Institute of Engineering Science and Technology - [IIEST] Shibpur,"Howrah, West Bengal",B.Tech Computer Science Engineering,"₹ 1,42,000",B.Tech + M.Tech Aerospace Engin...,"₹ 70,000",https://collegedunia.com/university/28330-indian-institute-of-engineering-science-and-technology-iiest-shibpur-howrah/courses-fees?course_id=2049
National Institute of Technology - [NIT],"Agartala, Tripura",B.Tech Computer Science Engineering,"₹ 1,56,550",B.Tech Electronics & Communicati...,"₹ 1,56,550",https://collegedunia.com/university/25916-national-institute-of-technology-nit-agartala/courses-fees?course_id=2049
National Institute of Technology - [NIT],"Hamirpur, Himachal Pradesh",B.Tech + M.Tech Computer Scienc...,"₹ 1,80,200",B.Tech Mathematics and Computing,"₹ 1,80,200",https://collegedunia.com/university/25564-national-institute-of-technology-nit-hamirpur/courses-fees?course_id=2146
Indian Institute of Information Technology -[IIIT],"Bhopal, Madhya Pradesh",B.Tech Data Science,"₹ 2,68,254",B.Tech Computer Science Engineering,"₹ 2,68,254",https://collegedunia.com/university/59204-indian-institute-of-information-technology-iiit-bhopal/courses-fees?course_id=15263
National Institute of Technology - [NITAP],"Tadepalligudem, Andhra Pradesh",B.Tech Computer Science Engineering,"₹ 1,52,500",B.Tech Electronics & Communicati...,"₹ 1,52,500",https://collegedunia.com/university/55796-national-institute-of-technology-nitap-tadepalligudem/courses-fees?course_id=2049
Indian Institute of Information Technology Sri City - [IIIT],"Sri City, Andhra Pradesh",B.Tech Computer Science Engineering,"₹ 3,92,000",B.Tech Artificial Intelligence a...,"₹ 3,92,000",https://collegedunia.com/university/55789-indian-institute-of-information-technology-sri-city-iiit-sri-city/courses-fees?course_id=2049
